Dates;Open;Close;High;Low
03/04/2012 14:06:00;22,83;22,83;22,84;22,82
03/04/2012 14:07:00;22,82;22,83;22,83;22,82
03/04/2012 14:08:00;22,83;22,83;22,83;22,82
03/04/2012 14:09:00;22,83;22,82;22,83;22,82
03/04/2012 14:10:00;22,83;22,82;22,83;22,82
03/04/2012 14:11:00;22,82;22,82;22,82;22,82
03/04/2012 14:12:00;22,82;22,81;22,82;22,81
03/04/2012 14:13:00;22,82;22,82;22,82;22,81
03/04/2012 14:14:00;22,82;22,83;22,83;22,82
03/04/2012 14:15:00;22,83;22,82;22,83;22,81
03/04/2012 14:16:00;22,82;22,81;22,82;22,8
03/04/2012 14:17:00;22,81;22,83;22,83;22,81
03/04/2012 14:18:00;22,83;22,83;22,83;22,82
03/04/2012 14:19:00;22,83;22,82;22,83;22,81
03/04/2012 14:20:00;22,82;22,83;22,83;22,82
03/04/2012 14:21:00;22,83;22,82;22,83;22,82
03/04/2012 14:22:00;22,82;22,81;22,83;22,81
03/04/2012 14:23:00;22,81;22,82;22,83;22,81
03/04/2012 14:24:00;22,81;22,81;22,81;22,8
03/04/2012 14:25:00;22,82;22,81;22,82;22,8
03/04/2012 14:26:00;22,81;22,82;22,82;22,81
03/04/2012 14:27:00;22,82;22,81;22,83;22,81
03/04/2012 14:28:00;22,82;22,82;22,82;22,81
03/04/2012 14:29:00;22,82;22,83;22,83;22,82
03/04/2012 14:30:00;22,83;22,83;22,83;22,83
03/04/2012 14:31:00;22,83;22,83;22,84;22,82
03/04/2012 14:32:00;22,83;22,82;22,83;22,82
03/04/2012 14:33:00;22,82;22,82;22,82;22,81
03/04/2012 14:34:00;22,82;22,82;22,83;22,82
03/04/2012 14:35:00;22,82;22,81;22,82;22,81
03/04/2012 14:36:00;22,81;22,81;22,82;22,8
03/04/2012 14:37:00;22,81;22,81;22,81;22,8
03/04/2012 14:38:00;22,81;22,81;22,81;22,81
03/04/2012 14:39:00;22,82;22,8;22,82;22,8
03/04/2012 14:40:00;22,8;22,78;22,8;22,77
03/04/2012 14:41:00;22,78;22,78;22,78;22,77
03/04/2012 14:42:00;22,77;22,77;22,77;22,75
03/04/2012 14:43:00;22,76;22,77;22,77;22,76
